state,date,positive,negative,pending,hospitalizedcurrently,hospitalizedcumulative,inicucurrently,inicucumulative,onventilatorcurrently,onventilatorcumulative,recovered,death,hospitalized,totaltestsviral,positivetestsviral,negativetestsviral,positivecasesviral,deathconfirmed,deathprobable,fips,positiveincrease,negativeincrease,total,totaltestresults,totaltestresultsincrease,posneg,deathincrease,hospitalizedincrease
AK,2020-03-06,0.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,27.0,24.0,0.0,24.0,0.0,0.0
AK,2020-03-07,0.0,60.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,12,0.0,12.0,69.0,60.0,12.0,60.0,0.0,0.0
AK,2020-03-08,0.0,102.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,18,0.0,18.0,129.0,102.0,18.0,102.0,0.0,0.0
AK,2020-03-09,0.0,171.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,24,0.0,45.0,225.0,171.0,45.0,171.0,0.0,0.0
AK,2020-03-10,0.0,240.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,30,0.0,45.0,321.0,240.0,45.0,240.0,0.0,0.0
AK,2020-03-11,0.0,378.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,36,0.0,114.0,501.0,378.0,114.0,378.0,0.0,0.0
AK,2020-03-12,0.0,516.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,42,0.0,114.0,681.0,516.0,114.0,516.0,0.0,0.0
AK,2020-03-13,3.0,693.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,0.0,0.0,1.0,0.0,0.0,48,3.0,153.0,861.0,696.0,156.0,696.0,0.0,0.0
AK,2020-03-14,6.0,1122.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.0,0.0,0.0,2.0,0.0,0.0,54,3.0,405.0,1293.0,1128.0,408.0,1128.0,0.0,0.0
AK,2020-03-15,9.0,1551.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0,0.0,0.0,3.0,0.0,0.0,60,3.0,405.0,1725.0,1560.0,408.0,1560.0,0.0,0.0
AK,2020-03-16,12.0,1980.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664.0,0.0,0.0,4.0,0.0,0.0,66,3.0,405.0,2157.0,1992.0,408.0,1992.0,0.0,0.0
AK,2020-03-17,21.0,2982.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,7.0,0.0,0.0,72,9.0,978.0,3168.0,3003.0,987.0,3003.0,0.0,0.0
AK,2020-03-18,39.0,4200.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1413.0,0.0,0.0,13.0,0.0,0.0,78,18.0,1194.0,4404.0,4239.0,1212.0,4239.0,0.0,0.0
AK,2020-03-19,57.0,5496.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1851.0,0.0,0.0,19.0,0.0,0.0,84,18.0,1272.0,5718.0,5553.0,1290.0,5553.0,0.0,0.0
AK,2020-03-20,93.0,7554.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2549.0,0.0,0.0,31.0,0.0,0.0,90,36.0,2034.0,7812.0,7647.0,2070.0,7647.0,0.0,0.0
AK,2020-03-21,135.0,9828.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3321.0,0.0,0.0,45.0,0.0,0.0,96,42.0,2250.0,10128.0,9963.0,2292.0,9963.0,0.0,0.0
AK,2020-03-22,201.0,12666.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4289.0,0.0,0.0,67.0,0.0,0.0,102,66.0,2814.0,13032.0,12867.0,2880.0,12867.0,0.0,0.0
AK,2020-03-23,267.0,15504.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5257.0,0.0,0.0,89.0,0.0,0.0,108,66.0,2814.0,15936.0,15771.0,2880.0,15771.0,0.0,0.0
AK,2020-03-24,375.0,18462.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6279.0,0.0,0.0,125.0,0.0,0.0,114,108.0,2934.0,19002.0,18837.0,3042.0,18837.0,0.0,0.0
AK,2020-03-25,501.0,23409.0,165.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,7970.0,0.0,0.0,167.0,0.0,0.0,120,126.0,4923.0,24075.0,23910.0,5049.0,23910.0,3.0,3.0
